city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
margaret river,-33.95,115.0667,293.13,73,77,5.02,AU,1710291441
port-aux-francais,-49.35,70.2167,278.41,69,29,15.33,TF,1710291442
ust-nera,64.5667,143.2,248.96,94,66,1.57,RU,1710291443
ribeira grande,38.5167,-28.7,290.25,91,49,8.05,PT,1710291445
howrah,22.5892,88.3103,298.15,88,40,0.0,IN,1710291445
puerto natales,-51.7236,-72.4875,279.35,82,71,4.23,CL,1710291446
tralee,52.2704,-9.7026,285.04,92,100,7.68,IE,1710291448
dhidhdhoo,6.8833,73.1,300.88,76,11,2.65,MV,1710291449
lebu,-37.6167,-73.65,286.39,87,2,3.77,CL,1710291449
talnakh,69.4865,88.3972,253.26,97,100,7.92,RU,1710291450
rabo de peixe,37.8,-25.5833,288.88,88,40,4.63,PT,1710291451
peace river,56.2501,-117.286,281.32,53,40,1.54,CA,1710291452
bilibino,68.0546,166.4372,254.34,86,34,0.89,RU,1710291454
bethel,41.3712,-73.414,286.32,38,0,2.06,US,1710291274
hawaiian paradise park,19.5933,-154.9731,299.88,82,40,7.72,US,1710291456
adamstown,-25.066,-130.1015,297.65,83,100,1.59,PN,1710291189
klyuchi,52.2667,79.1667,256.22,98,53,1.72,RU,1710291458
puerto ayora,-0.7393,-90.3518,298.46,100,62,0.89,EC,1710291459
yuzhno-kurilsk,44.0306,145.8556,269.69,78,100,13.95,RU,1710291460
hovd,48.0056,91.6419,271.35,36,100,1.23,MN,1710291462
tiksi,71.6872,128.8694,255.91,96,100,2.47,RU,1710291463
fort bragg,35.139,-79.006,292.06,39,0,2.57,US,1710291302
wailua homesteads,22.0669,-159.378,299.89,72,75,7.2,US,1710291465
morro agudo,-20.7314,-48.0578,300.88,61,100,0.97,BR,1710291466
kalianget,-7.05,113.9333,301.0,85,85,8.21,ID,1710291468
barcelona,41.3888,2.159,285.12,77,20,2.57,ES,1710291291
codrington,-38.2667,141.9667,289.1,69,99,4.94,AU,1710291472
fortuna,40.5982,-124.1573,285.89,78,75,3.09,US,1710291472
mhamid,29.82,-5.72,292.03,25,96,3.0,MA,1710291474
arraial do cabo,-22.9661,-42.0278,298.13,73,75,2.06,BR,1710291475
port elizabeth,-33.918,25.5701,293.32,77,0,6.17,ZA,1710291477
formosa,-26.1775,-58.1781,305.35,69,0,4.63,AR,1710291361
likisa,-8.6695,125.6875,293.05,95,100,3.34,TL,1710291478
constantia,44.1833,28.65,282.53,97,100,4.29,RO,1710291479
blackmans bay,-43.0167,147.3167,291.22,56,6,1.34,AU,1710291480
keflavik,64.0049,-22.5624,278.1,93,75,3.6,IS,1710291482
besisahar,28.2313,84.3761,290.49,27,0,3.88,NP,1710291485
ta`u,-14.2336,-169.5144,301.98,78,75,5.49,AS,1710291486
hamilton,39.1834,-84.5333,289.5,45,0,3.09,US,1710291428
west island,-12.1568,96.8225,300.14,74,40,6.17,CC,1710291489
oliver,49.1831,-119.5524,282.29,61,100,4.63,CA,1710291490
macau,22.2006,113.5461,293.04,73,20,5.14,MO,1710291490
nar'yan-mar,67.6713,53.087,264.32,89,96,4.02,RU,1710291494
waitangi,-43.9535,-176.5597,288.61,79,100,2.24,NZ,1710291496
naze,28.3667,129.4833,288.66,54,100,7.92,JP,1710291499
delijan,33.9905,50.6838,280.98,37,0,0.61,IR,1710291500
coquimbo,-29.9533,-71.3436,291.0,82,0,2.57,CL,1710291501
zaozersk,69.4005,32.4476,258.47,99,94,1.83,RU,1710291562
isafjordur,66.0755,-23.124,275.06,93,100,4.39,IS,1710291564
lerwick,60.1545,-1.1494,279.49,94,100,12.89,GB,1710291566
papatowai,-46.5619,169.4708,285.79,57,80,6.26,NZ,1710291568
gustine,37.2577,-120.9988,291.31,74,92,1.79,US,1710291568
kingston,17.997,-76.7936,301.68,77,20,7.72,JM,1710291541
albany,42.6001,-73.9662,281.92,62,6,0.45,US,1710291573
bredasdorp,-34.5322,20.0403,290.03,84,1,1.28,ZA,1710291573
hermanus,-34.4187,19.2345,289.71,82,21,2.29,ZA,1710291574
weno,7.4515,151.8468,300.86,76,100,6.23,FM,1710291576
tolanaro,-25.0319,46.9987,297.65,92,9,5.86,MG,1710291577
grytviken,-54.2811,-36.5092,277.22,78,10,3.89,GS,1710291578
gunnison,38.7,-107.0673,276.62,77,100,2.41,US,1710291339
debark',13.1561,37.8981,286.39,61,55,2.9,ET,1710291580
east london,-33.0153,27.9116,294.59,91,93,3.03,ZA,1710291581
port mathurin,-19.6833,63.4167,298.2,94,40,6.17,MU,1710291583
buala,-8.145,159.5921,303.17,74,70,2.62,SB,1710291583
nizhneudinsk,54.9076,99.0276,267.81,94,100,1.34,RU,1710291584
geraldton,-28.7667,114.6,303.38,51,0,5.66,AU,1710291585
saipan,15.1355,145.701,300.54,78,75,4.63,MP,1710291585
augusto correa,-1.0217,-46.635,298.22,94,100,1.45,BR,1710291588
mcminnville,45.2101,-123.1987,283.5,77,20,4.63,US,1710291343
san angelo,31.4638,-100.437,295.34,59,78,3.13,US,1710291426
kodiak,57.79,-152.4072,272.01,58,100,2.48,US,1710291590
shimoda,34.6667,138.95,286.35,66,56,2.01,JP,1710291593
kaitong,44.8135,123.15,275.47,47,0,4.58,CN,1710291596
puerto aysen,-45.4,-72.7,283.37,98,100,2.74,CL,1710291598
arraias,-12.9288,-46.9437,297.07,75,14,0.6,BR,1710291599
college,64.8569,-147.8028,262.08,50,99,1.91,US,1710291600
berezovo,63.9381,65.0419,257.79,87,100,5.48,RU,1710291603
vorgashor,67.5833,63.95,255.72,92,100,7.09,RU,1710291607
namibe,-15.1961,12.1522,299.32,70,20,1.07,AO,1710291612
sangueya,10.7,-14.3667,296.98,83,100,1.63,GN,1710291616
axim,4.8699,-2.2405,300.83,87,100,3.3,GH,1710291619
homosassa springs,28.8036,-82.5759,293.23,81,0,0.0,US,1710291620
gadzhiyevo,69.2551,33.3362,267.45,75,100,6.97,RU,1710291621
mossoro,-5.1875,-37.3442,298.86,88,94,2.11,BR,1710291622
christchurch,-43.5333,172.6333,289.26,44,100,5.14,NZ,1710291554
aasiaat,68.7098,-52.8699,257.16,99,99,1.22,GL,1710291624
invercargill,-46.4,168.35,286.49,67,77,5.81,NZ,1710291626
remire-montjoly,4.9167,-52.2667,301.17,83,75,4.12,GF,1710291628
nemuro,43.3236,145.575,270.3,78,100,18.11,JP,1710291618
whitehorse,60.7161,-135.0538,275.58,48,75,5.66,CA,1710291630
kolonia,50.9333,6.95,281.94,89,100,0.89,DE,1710291609
ushuaia,-54.8,-68.3,283.94,57,20,5.14,AR,1710291692
roslavl',53.9528,32.8639,269.1,86,100,2.99,RU,1710291694
isla mujeres,21.2311,-86.731,299.91,81,0,3.48,MX,1710291697
cabo san lucas,22.8909,-109.9124,300.16,53,2,3.94,MX,1710291484
longyearbyen,78.2186,15.6401,263.06,79,100,9.26,SJ,1710291700
tsiombe,-25.3,45.4833,297.79,77,37,1.77,MG,1710291701
enewetak,11.3474,162.3373,299.84,80,88,10.09,MH,1710291702
chishmy,54.5765,55.3764,263.28,98,98,1.35,RU,1710291703
as-suwayda,32.709,36.5695,284.85,31,5,5.45,SY,1710291704
souillac,-20.5167,57.5167,299.36,78,75,4.63,MU,1710291704
udachny,66.4167,112.4,244.07,98,45,0.75,RU,1710291705
alice springs,-23.7,133.8833,305.9,22,8,3.6,AU,1710291706
kirundo,-2.5833,30.1667,289.09,95,27,1.54,BI,1710291707
port hedland,-20.3167,118.5667,303.18,74,92,3.6,AU,1710291685
maceio,-9.6658,-35.7353,300.84,89,0,1.03,BR,1710291611
kerikeri,-35.2268,173.9474,296.43,82,100,0.45,NZ,1710291711
sydney mines,46.2367,-60.2177,274.71,96,100,5.66,CA,1710291711
lobujya,27.95,86.8167,258.82,15,0,1.92,NP,1710291714
edinburgh of the seven seas,-37.0676,-12.3116,290.84,76,100,7.6,SH,1710291715
tazovsky,67.4667,78.7,254.85,86,100,11.04,RU,1710291716
san jose,37.3394,-121.895,290.02,58,75,6.69,US,1710291671
jamestown,42.097,-79.2353,284.95,67,0,0.0,US,1710291666
nuuk,64.1835,-51.7216,268.08,92,100,3.58,GL,1710291501
uturoa,-16.7333,-151.4333,302.29,77,22,5.78,PF,1710291722
ilulissat,69.2167,-51.1,259.68,96,100,0.52,GL,1710291723
anadyr,64.75,177.4833,252.59,83,75,3.0,RU,1710291723
alaghsas,17.0187,8.0168,300.27,10,99,5.03,NE,1710291724
greymouth,-42.4667,171.2,288.78,74,80,3.33,NZ,1710291725
ancud,-41.8697,-73.8203,287.06,77,100,5.59,CL,1710291726
cabedelo,-6.9811,-34.8339,300.52,83,52,2.95,BR,1710291727
inderbor,48.55,51.7833,271.33,86,100,4.42,KZ,1710291731
pangai,-19.8,-174.35,302.21,79,75,2.06,TO,1710291732
bafoulabe,13.8065,-10.8321,305.63,15,6,2.71,ML,1710291741
punta arenas,-53.15,-70.9167,282.1,81,40,2.06,CL,1710291622
salahonda,2.1019,-78.7217,300.06,90,100,3.67,CO,1710291745
karratha,-20.7377,116.8463,302.17,57,66,2.49,AU,1710291746
tailai,46.3833,123.4,275.25,46,0,5.76,CN,1710291748
avarua,-21.2078,-159.775,301.18,89,75,7.72,CK,1710291752
dzhambeyty,50.2536,52.595,265.57,97,93,2.56,KZ,1710291756
kosonsoy,41.2561,71.5508,275.46,98,100,3.38,UZ,1710291761
lepsy,46.235,78.9456,274.24,92,100,6.4,KZ,1710291762
ca mau,9.1769,105.15,300.98,68,82,4.89,VN,1710291763
taroa,8.7058,171.2275,300.12,83,97,11.53,MH,1710291766
gornozavodsk,58.3758,58.3211,247.58,100,100,0.25,RU,1710291767
stanley,54.868,-1.6985,283.86,89,100,8.0,GB,1710291768
nanao,37.05,136.9667,280.55,52,98,4.61,JP,1710291770
fale old settlement,-9.3852,-171.2468,302.77,74,56,3.68,TK,1710291771
san antonio de pale,-1.4014,5.6325,301.82,81,100,3.65,GQ,1710291832
la'ie,21.6477,-157.9253,300.96,86,36,0.45,US,1710291833
murghob,38.1702,73.9667,259.44,76,100,2.19,TJ,1710291834
sitka,57.0531,-135.33,274.93,89,100,2.08,US,1710291717
bathsheba,13.2167,-59.5167,299.49,83,20,7.2,BB,1710291835
lipnik nad becvou,49.5272,17.5859,280.95,87,100,1.24,CZ,1710291836
palikir - national government center,6.9248,158.1611,300.49,81,26,9.87,FM,1710291837
chonchi,-42.6128,-73.8092,285.99,85,100,2.47,CL,1710291838
pyt-yakh,60.7499,72.8582,247.96,100,62,1.44,RU,1710291839
florina,40.782,21.4098,278.03,85,35,2.06,GR,1710291840
olonkinbyen,70.9221,-8.7187,272.07,95,99,3.16,SJ,1710291842
mendi,-6.1761,143.6513,295.7,55,58,2.81,PG,1710291845
haiku-pauwela,20.9219,-156.3051,299.28,74,38,1.34,US,1710291847
tangalle,6.024,80.7911,295.24,87,8,3.21,LK,1710291848
thompson,55.7435,-97.8558,266.24,86,100,3.09,CA,1710291851
chiredzi,-21.05,31.6667,292.36,90,5,2.17,ZW,1710291854
goure,13.9835,10.2704,300.17,12,15,4.29,NE,1710291855
dudinka,69.4058,86.1778,253.49,97,100,9.83,RU,1710291857
jayapura,-2.5333,140.7,299.81,72,97,0.82,ID,1710291857
vila velha,-20.3297,-40.2925,299.23,85,75,2.24,BR,1710291664
rosoman,41.5161,21.9497,282.47,75,90,1.57,MK,1710291860
sigli,5.3848,95.9609,299.38,73,40,1.19,ID,1710291863
yellowknife,62.456,-114.3525,262.27,92,100,4.63,CA,1710291688
kapuskasing,49.4169,-82.4331,280.15,49,75,3.09,CA,1710291779
qaqortoq,60.7167,-46.0333,261.9,87,54,2.11,GL,1710291865
mukachevo,48.4419,22.7179,283.06,93,100,1.44,UA,1710291866
alofi,-19.0595,-169.9187,302.09,84,20,5.66,NU,1710291867
uttar char fasson,22.2332,90.7132,297.44,85,2,2.68,BD,1710291868
atafu village,-8.5421,-172.5159,303.08,73,85,4.67,TK,1710291869
port macquarie,-31.4333,152.9167,300.87,58,47,2.45,AU,1710291870
badger,64.8,-147.5333,262.99,52,40,4.63,US,1710291876
katsuren-haebaru,26.3369,127.8719,292.58,49,40,8.23,JP,1710291881
saint-philippe,-21.3585,55.7679,297.92,81,45,5.06,RE,1710291882
shingu,33.7333,135.9833,282.28,49,6,5.45,JP,1710291883
lagoa,39.05,-27.9833,288.82,86,83,8.69,PT,1710291799
vilyuchinsk,52.9306,158.4028,269.3,63,1,2.89,RU,1710291896
inhambane,-23.865,35.3833,297.24,91,100,8.39,MZ,1710291898
la ronge,55.1001,-105.2842,269.29,68,40,4.12,CA,1710291901
mount gambier,-37.8333,140.7667,292.19,64,96,3.77,AU,1710291901
maua,-23.6678,-46.4614,295.37,90,99,2.14,BR,1710291787
nagqu,31.5,92.0,266.01,35,0,1.21,CN,1710291907
al hazm,16.1641,44.7769,297.52,50,64,2.1,YE,1710291908
iqaluit,63.7506,-68.5145,249.09,69,20,1.03,CA,1710291618
zhosaly,45.4878,64.0781,270.49,63,76,3.25,KZ,1710291973
tumpat,6.1978,102.171,297.14,94,20,1.03,MY,1710291974
ladario,-19.0047,-57.6017,302.67,59,76,0.49,BR,1710291975
polyarnyy,69.1989,33.4478,264.39,84,100,3.78,RU,1710291975
mejit,10.2753,170.8646,299.76,82,72,10.44,MH,1710291977
halden,59.1226,11.3871,275.67,80,100,0.94,NO,1710291978
utrik,11.2278,169.8474,299.78,78,100,9.95,MH,1710291981
cockburn town,21.4612,-71.1419,297.13,78,40,4.12,TC,1710291982
taoudenni,22.6783,-3.9836,298.28,15,8,2.76,ML,1710291983
pangody,65.85,74.4859,254.68,90,100,9.67,RU,1710291983
pandan,14.0453,124.1694,300.41,70,100,4.39,PH,1710291985
chegdomyn,51.1167,133.0167,261.36,86,79,0.99,RU,1710291987
lae,-6.7221,146.9847,303.52,65,98,5.19,PG,1710291988
nushki,29.5542,66.0215,281.81,80,93,2.9,PK,1710291989
brookings,44.3114,-96.7984,287.15,31,0,3.6,US,1710291782
lokomotivnyy,53.0118,60.5684,254.49,100,100,1.79,RU,1710291990
kirensk,57.7853,108.1119,264.59,95,100,2.31,RU,1710291993
kayenta,36.7278,-110.2546,281.78,44,100,7.29,US,1710291994
pauini,-7.7136,-66.9764,297.75,96,100,0.93,BR,1710291996
kario ghanwar,24.8082,68.6045,294.21,68,3,3.61,PK,1710291998
necochea,-38.5473,-58.7368,293.11,92,0,0.87,AR,1710292000
galliano,29.4422,-90.2992,292.59,72,0,2.57,US,1710292001
buka,40.8108,69.1986,277.11,83,100,1.8,UZ,1710292003
ha'il,27.5219,41.6907,285.16,40,0,2.06,SA,1710292007
okha,53.5739,142.9478,260.59,89,58,1.69,RU,1710292009
rahachow,53.0934,30.0495,272.54,61,100,4.04,BY,1710292010
tinghir,31.5157,-5.5343,286.59,35,97,2.83,MA,1710292011
sangin,32.0728,64.8359,282.68,84,58,4.29,AF,1710292013
pisco,-13.7,-76.2167,296.18,73,0,7.2,PE,1710292015
ganghwa-gun,37.7472,126.4856,280.09,42,9,2.57,KR,1710292016
kruisfontein,-34.0033,24.7314,291.97,76,100,3.15,ZA,1710292018
gewane,10.1664,40.6453,301.25,55,82,1.55,ET,1710292019
ardakan,32.31,54.0175,283.13,55,0,0.72,IR,1710292019
kavieng,-2.5744,150.7967,299.79,87,100,6.48,PG,1710292020
hinton,53.4001,-117.5857,275.7,88,39,0.64,CA,1710292021
malango,-2.9627,119.9001,294.66,97,100,0.97,ID,1710292022
bhadrakh,21.0528,86.52,297.4,94,7,1.93,IN,1710292022
tura,25.5198,90.2201,291.88,41,0,2.15,IN,1710292025
deqen,29.9618,90.7188,273.42,35,0,0.59,CN,1710292029
sidi ifni,29.3797,-10.173,288.33,90,60,0.74,MA,1710292030
kissimmee,28.3047,-81.4167,295.29,68,0,4.63,US,1710291742
oyan,8.05,4.7667,297.68,92,100,2.75,NG,1710292033
barra de santo antonio,-9.4047,-35.5072,300.75,83,56,3.26,BR,1710292034
nantucket,41.2835,-70.0995,282.23,70,0,6.89,US,1710292035
la passe,45.5549,-0.8967,283.28,95,62,1.86,FR,1710292037
newman,37.3138,-121.0208,289.9,74,93,1.79,US,1710292038
kulhudhuffushi,6.6221,73.07,300.82,76,9,2.78,MV,1710292039
noyabrsk,63.1994,75.4507,246.61,100,99,1.34,RU,1710292099
mankera,31.3866,71.4407,292.15,40,100,3.3,PK,1710292102
kishapu,-3.6167,33.8667,293.11,77,50,2.55,TZ,1710292103
nuku'alofa,-21.1333,-175.2,301.34,83,100,4.63,TO,1710292103
island harbour,50.724,-1.2758,284.99,93,100,3.58,GB,1710292105
egilsstadir,65.2653,-14.3948,274.41,99,100,4.01,IS,1710292105
shahba,32.8551,36.629,284.28,32,5,2.98,SY,1710292108
kristiansund,63.1115,7.732,275.51,69,75,4.12,NO,1710292110
brokopondo,4.75,-55.1667,299.95,81,76,4.32,SR,1710292111
kayangel,8.0823,134.7173,300.67,78,100,7.82,PW,1710292112
lupiro,-8.3833,36.6667,294.69,97,94,0.69,TZ,1710292113
nykarleby,63.5228,22.5307,270.32,87,100,2.35,FI,1710292115
hammerfest,70.6634,23.6821,265.4,67,85,2.06,NO,1710292115
chelak,39.9203,66.8611,275.57,93,85,0.72,UZ,1710292116
afaahiti,-17.75,-149.2833,304.08,83,69,6.81,PF,1710292122
al khums,32.6486,14.2619,287.77,64,0,5.17,LY,1710292124
mokhsogollokh,61.4681,128.9203,264.39,81,96,3.57,RU,1710292124
qaisumah,28.3112,46.1273,284.13,40,0,2.57,SA,1710292125
lander,42.833,-108.7307,283.04,47,0,0.0,US,1710292126
manakara,-22.1333,48.0167,296.51,94,21,1.14,MG,1710292127
chegutu,-18.1302,30.1407,291.08,84,10,1.58,ZW,1710292128
vilyuysk,63.7553,121.6247,254.66,97,96,1.99,RU,1710292129
kaga bandoro,6.9896,19.1874,303.18,27,81,1.44,CF,1710292130
hun,29.1268,15.9477,287.94,49,0,1.54,LY,1710292131
uvinza,-5.1036,30.3911,292.08,94,38,0.57,TZ,1710292132
iskateley,67.6803,53.1512,264.27,89,97,4.02,RU,1710292134
mar del plata,-38.0023,-57.5575,292.64,91,40,4.63,AR,1710291840
licata,37.1071,13.9461,283.28,81,0,4.37,IT,1710292135
zouerate,22.7187,-12.4521,294.26,25,28,2.67,MR,1710292137
beau vallon,-20.4189,57.6953,298.27,84,50,6.9,MU,1710292139
